"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Tyreek Hill",KC,"12"," 3.4","+1","+3.1","60% (9/15)"
"2",1,"Davante Adams",GB,"13"," 4.6","-1","+2.8","57% (8/14)"
"3",1,"Stefon Diggs",BUF,"7"," 6.0","0","+1.8","50% (8/16)"
"4",1,"Calvin Ridley",ATL,"6"," 5.0","+2","-0.1","46% (7/15)"
"5",2,"D.K. Metcalf",SEA,"9"," 2.4","-1","0.0","43% (7/16)"
"6",2,"DeAndre Hopkins",ARI,"12"," 1.0","-1","-1.9","56% (9/16)"
"7",2,"Justin Jefferson",MIN,"7"," 1.8","+1","+2.5","56% (9/16)"
"8",2,"A.J. Brown",TEN,"13"," 5.4","-1","+1.5","57% (8/14)"
"9",3,"Terry McLaurin",WAS,"9"," 7.6","+1","-1.2","33% (5/15)"
"10",3,"Mike Evans",TB,"9"," 6.8","+1","+0.9","62% (10/16)"
"11",3,"CeeDee Lamb",DAL,"7"," 7.4","+1","+1.8","56% (9/16)"
"12",3,"Allen Robinson II",CHI,"10"," 3.6","+1","-0.7","43% (7/16)"
"13",3,"Keenan Allen",LAC,"7"," 8.6","-4","-0.8","42% (6/14)"
"14",3,"Chris Godwin",TB,"9"," 6.8","0","+0.6","66% (8/12)"
"15",3,"Amari Cooper",DAL,"7"," 8.4","+2","-1.1","37% (6/16)"
"16",3,"Julio Jones",TEN,"13"," 4.8","0","-1.2","33% (3/9)"
"17",3,"Robert Woods",LAR,"11"," 3.0","-2","-1.1","37% (6/16)"
"18",3,"D.J. Moore",CAR,"13"," 8.8","+2","-0.6","53% (8/15)"
"19",4,"Adam Thielen",MIN,"7"," 1.8","-1","+0.3","46% (7/15)"
"20",4,"Tyler Lockett",SEA,"9"," 1.8","+1","-0.5","31% (5/16)"
"21",4,"Cooper Kupp",LAR,"11"," 2.4","-2","-2.8","26% (4/15)"
"22",4,"Brandon Aiyuk",SF,"6"," 5.8","+1","+3.4","75% (9/12)"
"23",4,"Tee Higgins",CIN,"10"," 2.6","+4","+1.0","50% (8/16)"
"24",4,"Diontae Johnson",PIT,"7"," 3.6","-2","+0.3","60% (9/15)"
"25",4,"Chase Claypool",PIT,"7"," 4.8","0","+2.4","56% (9/16)"
"26",4,"Odell Beckham Jr.",CLE,"13"," 5.0","-2","-2.1","28% (2/7)"
"27",4,"Kenny Golladay",NYG,"10"," 6.6","+2","-3.1","40% (2/5)"
"28",5,"Jerry Jeudy",DEN,"11"," 6.6","+3","-0.6","37% (6/16)"
"29",5,"Courtland Sutton",DEN,"11"," 6.6","+3","-2.4","0% (0/1)"
"30",5,"Ja'Marr Chase",CIN,"10"," 1.8","-4","-","-"
"31",5,"Robby Anderson",CAR,"13"," 9.6","+3","-1.4","37% (6/16)"
"32",5,"JuJu Smith-Schuster",PIT,"7"," 3.0","-2","+0.4","62% (10/16)"
"33",5,"Brandin Cooks",HOU,"10"," 3.0","+7","+1.5","40% (6/15)"
"34",5,"Deebo Samuel",SF,"6"," 6.0","+1","-1.4","28% (2/7)"
"35",5,"Tyler Boyd",CIN,"10"," 2.0","+1","-1.1","40% (6/15)"
"36",5,"Corey Davis",NYJ,"6"," 7.4","+6","+1.1","53% (8/15)"
"37",5,"Will Fuller V",MIA,"14"," 5.8","+7","+1.9","63% (7/11)"
"38",5,"DeVonta Smith",PHI,"14"," 5.4","-5","-","-"
"39",5,"D.J. Chark Jr.",JAC,"7"," 6.0","-1","-1.3","23% (3/13)"
"40",5,"Antonio Brown",TB,"9"," 6.6","-3","+2.4","62% (5/8)"
"41",5,"Mike Williams",LAC,"7"," 8.2","+4","-1.0","33% (5/15)"
"42",6,"Laviska Shenault Jr.",JAC,"7"," 6.4","-1","+0.6","57% (8/14)"
"43",6,"Michael Gallup",DAL,"7"," 8.2","+7","+0.3","43% (7/16)"
"44",6,"Curtis Samuel",WAS,"9"," 7.0","+8","+2.4","60% (9/15)"
"45",6,"Jarvis Landry",CLE,"13"," 6.6","-6","-0.4","40% (6/15)"
"46",6,"Marvin Jones Jr.",JAC,"7"," 6.2","+8","+0.4","43% (7/16)"
"47",6,"Michael Pittman Jr.",IND,"14"," 4.4","-4","-1.4","30% (4/13)"
"48",6,"Jaylen Waddle",MIA,"14"," 6.0","-2","-","-"
"49",6,"Marquise Brown",BAL,"8"," 4.2","-1","-1.0","43% (7/16)"
"50",6,"Marquez Callaway",NO,"6"," 5.8","-3","-0.1","36% (4/11)"
"51",6,"Michael Thomas",NO,"6"," 5.4","-23","-5.2","28% (2/7)"
"52",6,"Darnell Mooney",CHI,"10"," 3.2","+1","+1.5","43% (7/16)"
"53",6,"DeVante Parker",MIA,"14"," 6.0","+3","-2.4","35% (5/14)"
"54",6,"Mecole Hardman",KC,"12"," 2.8","-5","+0.3","43% (7/16)"
"55",6,"Henry Ruggs III",LV,"8"," 5.2","-4","-2.1","30% (4/13)"
"56",7,"Jakobi Meyers",NE,"14"," 6.0","+1","-0.3","38% (5/13)"
"57",7,"Elijah Moore",NYJ,"6"," 7.4","+3","-","-"
"58",7,"Nelson Agholor",NE,"14"," 6.4","+4","+2.7","50% (8/16)"
"59",7,"Cole Beasley",BUF,"7"," 7.0","-4","+2.1","66% (10/15)"
"60",7,"Russell Gage",ATL,"6"," 6.0","-2","+1.4","56% (9/16)"
"61",7,"Sterling Shepard",NYG,"10"," 5.6","+2","+0.8","30% (4/13)"
"62",7,"Jalen Reagor",PHI,"14"," 5.8","+10","-0.6","54% (6/11)"
"63",7,"Gabriel Davis",BUF,"7"," 6.4","+5","+2.2","62% (10/16)"
"64",7,"Rondale Moore",ARI,"12"," 2.0","+1","-","-"
